iso3,year,coal_twh,oil_twh,gas_twh,nuclear_twh,hydro_twh,wind_twh,solar_twh,other_renewable_twh
BGD,2000,0.000,1.020,13.980,0.000,0.940,0.000,0.000,0.000
BGD,2001,0.000,1.170,15.230,0.000,0.980,0.000,0.000,0.000
BGD,2002,0.000,1.260,16.640,0.000,1.050,0.000,0.000,0.000
BGD,2003,0.000,1.330,17.620,0.000,1.120,0.000,0.000,0.000
BGD,2004,0.000,1.450,22.470,0.000,1.210,0.000,0.000,0.000
BGD,2005,0.160,1.530,23.990,0.000,1.280,0.000,0.000,0.000
BGD,2006,0.280,1.640,26.850,0.000,1.380,0.000,0.010,0.000
BGD,2007,0.740,1.640,27.850,0.000,0.740,0.000,0.020,0.000
BGD,2008,1.100,1.440,30.730,0.000,0.940,0.000,0.020,0.000
BGD,2009,1.090,1.610,34.060,0.000,0.440,0.000,0.030,0.000
BGD,2010,0.770,1.480,37.780,0.000,0.760,0.000,0.070,0.000
BGD,2011,0.830,4.190,38.220,0.000,0.920,0.000,0.060,0.000
BGD,2012,0.940,5.990,40.780,0.000,0.820,0.000,0.090,0.000
BGD,2013,1.230,6.690,44.350,0.000,0.940,0.000,0.130,0.000
BGD,2014,1.100,8.210,45.960,0.000,0.620,0.000,0.160,0.000
BGD,2015,1.000,9.670,47.820,0.000,0.590,0.010,0.200,0.000
BGD,2016,1.030,11.380,55.440,0.000,1.010,0.010,0.220,0.000
BGD,2017,1.030,13.330,57.800,0.000,1.030,0.010,0.250,0.000
BGD,2018,1.790,16.290,59.670,0.000,1.080,0.010,0.310,0.000
BGD,2019,1.300,14.260,68.360,0.000,0.810,0.010,0.370,0.000
BGD,2020,3.150,10.180,70.880,0.000,0.780,0.010,0.460,0.000
BGD,2021,5.300,19.190,69.810,0.000,0.730,0.010,0.610,0.000
BGD,2022,5.660,25.810,69.190,0.000,0.710,0.010,0.870,0.000
BGD,2023,10.690,21.890,71.860,0.000,0.650,0.000,1.070,0.000
BGD,2024,22.950,18.530,70.070,0.000,0.890,0.000,1.420,0.000
BRA,2000,10.930,15.620,4.070,6.050,304.400,0.000,0.000,7.860
BRA,2001,11.080,16.340,9.920,14.280,267.880,0.030,0.000,9.020
BRA,2002,9.120,13.930,12.410,13.840,286.090,0.060,0.000,10.270
BRA,2003,9.010,11.290,13.110,13.360,305.620,0.060,0.000,11.940
BRA,2004,10.370,12.870,19.260,11.610,320.800,0.060,0.000,12.520
BRA,2005,10.680,12.540,18.810,9.850,337.460,0.090,0.000,13.640
BRA,2006,10.470,13.080,18.260,13.750,348.800,0.240,0.000,14.850
BRA,2007,10.080,14.480,15.500,12.350,374.020,0.660,0.000,18.060
BRA,2008,11.960,17.940,28.780,13.970,369.560,1.180,0.000,19.790
