iso3,name,region,income_group,population,ghg_per_capita,total_ghg,gdp_per_capita,co2,coal_co2,renewable_pct,carbon_intensity,vulnerability,readiness,total_score,grade
ABW,Aruba,Americas,,107566,8.509621620178223,0.9169740676879883,35718.7531191634,0.8865839838981628,,17,550,,,63,4
AFG,Afghanistan,Asia,,43844000,0.9329470992088318,15.366217613220215,413.757894705303,10.516319274902344,3.86667799949646,86.598,123.711,,,78.7,5
AGO,Angola,Africa,,36170961,4.375890731811523,49.92201232910156,2916.13663284275,21.674816131591797,,76.421,167.224,,,76.5,5
AIA,Anguilla,Americas,,16010,,,,0.14260700345039368,,,,,,,
ALA,Åland Islands,Europe,,30654,,,,,,,,,,,
ALB,Albania,Europe,,2363314,2.5053598880767822,5.496903896331787,9730.86921906893,4.417333126068115,0.5136250257492065,100,24.417,,,82,6
AND,Andorra,Europe,,88406,6.5166544914245605,0.4546792805194855,46812.4261013102,0.41809800267219543,0,,,,,,
ARE,United Arab Emirates,Asia,,11294243,23.47967529296875,247.633544921875,49850.6872175164,210.42510986328125,4.012220859527588,8.38,492.698,,,56.8,3
ARG,Argentina,Americas,,46735004,9.379297256469727,205.7686767578125,14261.8465667948,178.40699768066406,4.2263689041137695,34.098,353.958,,,66.3,4
ARM,Armenia,Asia,,3076200,3.5346691608428955,8.521516799926758,8159.08720967996,7.430227756500244,0.04047999903559685,27.977,262.428,,,66.7,4
ASM,American Samoa,Oceania,,49710,,,18017.4589383973,,,0,647.059,,,51.5,3
ATA,Antarctica,Antarctic,,1300,,,,0,,,,,,,
ATF,French Southern and Antarctic Lands,Antarctic,,400,,,,,,,,,,,
ATG,Antigua and Barbuda,Americas,,103603,7.494749546051025,0.6932476758956909,21494.5474000727,0.6405329704284668,,5.556,611.111,,,60,4
AUS,Australia,Oceania,,27536874,23.1173038482666,459.3740234375,65058.3773146674,384.3160705566406,140.98240661621094,34.876,556.296,0.318,0.675,70.1,5
AUT,Austria,Europe,,9200931,7.578158378601074,62.41471862792969,56579.504175468,56.90895462036133,11.146231651306152,84.713,111.613,,,79.4,5
AZE,Azerbaijan,Asia,,10241722,5.8549299240112305,51.79734420776367,7133.02838048328,42.74819564819336,0.04397200047969818,6.531,669.99,,,58.4,3
BDI,Burundi,Africa,,12332788,0.6785079836845398,3.9643774032592773,250.627253097255,0.9007160067558289,0.05063899978995323,69.231,230.769,,,74.8,5
BEL,Belgium,Europe,,11825551,9.138999938964844,95.67281341552734,55291.4754541329,84.70336151123047,10.431392669677734,33.443,134.915,,,69.4,4
BEN,Benin,Africa,,13224860,2.855956792831421,10.194464683532715,1394.17784721831,5.927823066711426,0.40476998686790466,3,590,,,59.8,3
BES,Caribbean Netherlands,Americas,,31980,,,,0.1462640017271042,0,,,,,,
BFA,Burkina Faso,Africa,,24070553,2.5363399982452393,12.886021614074707,873.482589651003,6.308441162109375,,17.341,554.913,,,62.7,4
BGD,Bangladesh,South Asia,Lower middle income,169828911,1.3688856363296509,132.20547485351562,2551.01773827307,104.52667236328125,23.837383270263672,1.62,683.12,0.568383,0.279308,49.6,2
BGR,Bulgaria,Europe,,6437360,6.375943183898926,42.0294075012207,15853.208636704,34.500946044921875,13.960909843444824,25.131,338.07,,,64.4,4
BHR,Bahrain,Asia,,1594654,40.08789825439453,62.87900924682617,29290.1284215098,38.78669357299805,,0.249,902.405,,,47.6,2
BHS,Bahamas,Americas,,398165,8.386436462402344,3.3274128437042236,38231.774484278,2.9561219215393066,0.0037869999650865793,0.976,653.659,,,60,4
BIH,Bosnia and Herzegovina,Europe,,3422000,8.504802703857422,25.08536148071289,8663.02326458629,19.881309509277344,14.389363288879395,39.182,612.33,,,63.7,4
BLM,Saint Barthélemy,Americas,,10562,,,,,,,,,,,
BLR,Belarus,Europe,,9109280,10.414688110351562,66.04859924316406,7896.75388295584,55.73606491088867,3.4616479873657227,3.075,364.387,,,59.7,3
BLZ,Belize,Americas,,417634,20.604040145874023,1.117652177810669,7424.75821321022,0.7664510011672974,,88.889,155.556,,,79.1,5
BMU,Bermuda,Americas,,64055,,,132604.439086216,0.529653012752533,0,1.562,640.625,,,66.5,4
BOL,Bolivia,Americas,,11365333,12.439516067504883,29.338991165161133,4274.70820547613,24.620519638061523,0.024289000779390335,35.008,489.112,,,65.8,4
BRA,Brazil,Latin America & Caribbean,Upper middle income,213421037,13.345686912536621,679.5128784179688,10377.5897719195,483.991943359375,54.905818939208984,88.941,96.396,0.36852,0.350466,73.8,5
BRB,Barbados,Americas,,267800,5.293061256408691,1.465204119682312,25583.878782727,1.3167330026626587,,8.182,600,,,61.4,4
BRN,Brunei,Asia,,455500,33.95487976074219,14.750836372375488,32890.5491812019,12.502692222595215,2.98124098777771,0,892.665,,,49.4,2
BTN,Bhutan,Asia,,784043,10.124429702758789,2.4895401000976562,3831.32535494609,1.629647970199585,0.8407589793205261,100,24.194,,,81.5,6
BVT,Bouvet Island,Antarctic,,0,,,,,,,,,,,
BWA,Botswana,Africa,,2359609,8.668120384216309,10.211204528808594,7826.35376483298,7.248676776885986,4.174177169799805,0.386,849.421,,,56.4,3
CAF,Central African Republic,Africa,,6470307,12.017012596130371,3.006319999694824,495.978897288721,0.38927900791168213,,100,0,,,82.3,6
CAN,Canada,Americas,,41651653,20.99415397644043,648.4931030273438,54220.3285039875,545.478515625,36.38423156738281,66.514,165.148,0.31,0.685,76,5
CCK,Cocos (Keeling) Islands,Oceania,,593,,,,,,,,,,,
CHE,Switzerland,Europe,,9082848,4.502466201782227,34.42124938964844,100623.549627296,31.97748565673828,0.3543339967727661,62.705,38.007,,,80.5,6
CHL,Chile,Americas,,20206953,5.403839111328125,94.48703002929688,17067.0364799154,77.60421752929688,11.730883598327637,64.401,301.928,,,72.6,5
CHN,China,Asia,,1408280000,9.795129776000977,13532.3955078125,12951.1782397043,12172.0087890625,8740.890625,30.605,583.608,0.385,0.445,49.5,2
CIV,Ivory Coast,Africa,,31719275,4.3854594230651855,23.959659576416016,2591.9659048119,14.052435874938965,,31.087,393.531,,,66.5,4
CMR,Cameroon,Africa,,29442327,2.280221939086914,23.736526489257812,1720.47510154506,9.694864273071289,,63.866,285.714,,,73.3,5
COD,DR Congo,Africa,,112832000,6.605055332183838,45.070308685302734,660.21205238997,5.8810858726501465,0.06996700167655945,100,27.044,,,82.1,6
COG,Republic of the Congo,Africa,,6142180,6.909847259521484,23.608190536499023,2477.97845544866,8.274272918701172,,20.696,713.733,,,61.5,4
COK,Cook Islands,Oceania,,15040,5.971723556518555,0.08413849771022797,,0.07658100128173828,,50,250,,,,
COL,Colombia,Americas,,53057212,4.573222637176514,129.2628631591797,7000.83660501046,89.99234008789062,19.656869888305664,65.97,268.967,,,73.4,5
COM,Comoros,Africa,,919901,1.2003711462020874,0.8957204222679138,1560.27378476855,0.5421299934387207,,0,642.857,,,58.8,3
CPV,Cape Verde,Africa,,491233,1.5563229322433472,0.6955440044403076,4794.90121917259,0.5714929699897766,,28,480,,,65.1,4
