iso3,name,year,indicator_code,value
AUS,Australia,2000,EMBER.CARBON.INTENSITY,805.977
AUS,Australia,2001,EMBER.CARBON.INTENSITY,803.13
AUS,Australia,2002,EMBER.CARBON.INTENSITY,794.666
AUS,Australia,2003,EMBER.CARBON.INTENSITY,792.166
AUS,Australia,2004,EMBER.CARBON.INTENSITY,792.828
AUS,Australia,2005,EMBER.CARBON.INTENSITY,791.8
AUS,Australia,2006,EMBER.CARBON.INTENSITY,790.495
AUS,Australia,2007,EMBER.CARBON.INTENSITY,791.151
AUS,Australia,2008,EMBER.CARBON.INTENSITY,791.507
AUS,Australia,2009,EMBER.CARBON.INTENSITY,785.114
AUS,Australia,2010,EMBER.CARBON.INTENSITY,775.67
AUS,Australia,2011,EMBER.CARBON.INTENSITY,749.415
AUS,Australia,2012,EMBER.CARBON.INTENSITY,746.988
AUS,Australia,2013,EMBER.CARBON.INTENSITY,726.158
AUS,Australia,2014,EMBER.CARBON.INTENSITY,734.181
AUS,Australia,2015,EMBER.CARBON.INTENSITY,729.714
AUS,Australia,2016,EMBER.CARBON.INTENSITY,713.511
AUS,Australia,2017,EMBER.CARBON.INTENSITY,718.076
AUS,Australia,2018,EMBER.CARBON.INTENSITY,688.421
AUS,Australia,2019,EMBER.CARBON.INTENSITY,670.102
AUS,Australia,2020,EMBER.CARBON.INTENSITY,642.316
AUS,Australia,2021,EMBER.CARBON.INTENSITY,605.908
AUS,Australia,2022,EMBER.CARBON.INTENSITY,577.862
AUS,Australia,2023,EMBER.CARBON.INTENSITY,556.296
AUS,Australia,2000,EMBER.RENEWABLE.PCT,8.089
AUS,Australia,2001,EMBER.RENEWABLE.PCT,7.696
AUS,Australia,2002,EMBER.RENEWABLE.PCT,8.032
AUS,Australia,2003,EMBER.RENEWABLE.PCT,8.258
AUS,Australia,2004,EMBER.RENEWABLE.PCT,8.454
AUS,Australia,2005,EMBER.RENEWABLE.PCT,8.98
AUS,Australia,2006,EMBER.RENEWABLE.PCT,8.883
AUS,Australia,2007,EMBER.RENEWABLE.PCT,8.343
AUS,Australia,2008,EMBER.RENEWABLE.PCT,7.792
AUS,Australia,2009,EMBER.RENEWABLE.PCT,8.067
AUS,Australia,2010,EMBER.RENEWABLE.PCT,8.83
AUS,Australia,2011,EMBER.RENEWABLE.PCT,11.944
AUS,Australia,2012,EMBER.RENEWABLE.PCT,12.076
AUS,Australia,2013,EMBER.RENEWABLE.PCT,14.237
AUS,Australia,2014,EMBER.RENEWABLE.PCT,13.228
AUS,Australia,2015,EMBER.RENEWABLE.PCT,14.095
AUS,Australia,2016,EMBER.RENEWABLE.PCT,16.164
AUS,Australia,2017,EMBER.RENEWABLE.PCT,15.133
AUS,Australia,2018,EMBER.RENEWABLE.PCT,18.844
AUS,Australia,2019,EMBER.RENEWABLE.PCT,20.782
AUS,Australia,2020,EMBER.RENEWABLE.PCT,24.243
AUS,Australia,2021,EMBER.RENEWABLE.PCT,28.891
AUS,Australia,2022,EMBER.RENEWABLE.PCT,32.039
AUS,Australia,2023,EMBER.RENEWABLE.PCT,34.876
AUS,Australia,2000,OWID.CO2,349.89764404296875
AUS,Australia,2001,OWID.CO2,357.66778564453125
AUS,Australia,2002,OWID.CO2,362.4249267578125
AUS,Australia,2003,OWID.CO2,370.784423828125
AUS,Australia,2004,OWID.CO2,382.0048828125
AUS,Australia,2005,OWID.CO2,385.0815124511719
AUS,Australia,2006,OWID.CO2,391.3725280761719
AUS,Australia,2007,OWID.CO2,398.896240234375
AUS,Australia,2008,OWID.CO2,404.279296875
AUS,Australia,2009,OWID.CO2,406.9770812988281
AUS,Australia,2010,OWID.CO2,405.02593994140625
AUS,Australia,2011,OWID.CO2,403.8743896484375
AUS,Australia,2012,OWID.CO2,405.005126953125
AUS,Australia,2013,OWID.CO2,397.8498840332031
AUS,Australia,2014,OWID.CO2,392.6095886230469
AUS,Australia,2015,OWID.CO2,400.58917236328125
AUS,Australia,2016,OWID.CO2,409.66632080078125
AUS,Australia,2017,OWID.CO2,413.4078369140625
AUS,Australia,2018,OWID.CO2,414.78057861328125
AUS,Australia,2019,OWID.CO2,414.9253234863281
AUS,Australia,2020,OWID.CO2,398.5469055175781
AUS,Australia,2021,OWID.CO2,388.4722900390625
AUS,Australia,2022,OWID.CO2,384.07843017578125
AUS,Australia,2023,OWID.CO2,384.3160705566406
AUS,Australia,2000,OWID.COAL_CO2,185.79684448242188
AUS,Australia,2001,OWID.COAL_CO2,190.08221435546875
AUS,Australia,2002,OWID.COAL_CO2,191.1466522216797
AUS,Australia,2003,OWID.COAL_CO2,195.3860321044922
AUS,Australia,2004,OWID.COAL_CO2,202.22543334960938
AUS,Australia,2005,OWID.COAL_CO2,200.7153778076172
AUS,Australia,2006,OWID.COAL_CO2,204.40054321289062
AUS,Australia,2007,OWID.COAL_CO2,203.55873107910156
AUS,Australia,2008,OWID.COAL_CO2,204.6875762939453
AUS,Australia,2009,OWID.COAL_CO2,206.0664825439453
AUS,Australia,2010,OWID.COAL_CO2,200.63485717773438
AUS,Australia,2011,OWID.COAL_CO2,192.23191833496094
AUS,Australia,2012,OWID.COAL_CO2,189.24395751953125
AUS,Australia,2013,OWID.COAL_CO2,176.43588256835938
AUS,Australia,2014,OWID.COAL_CO2,168.2185821533203
