iso3,name,year,indicator_code,value
DEU,Germany,2000,OWID.CO2,898.9757690429688
DEU,Germany,2001,OWID.CO2,915.2547607421875
DEU,Germany,2002,OWID.CO2,898.8342895507812
DEU,Germany,2003,OWID.CO2,894.5010986328125
DEU,Germany,2004,OWID.CO2,876.56982421875
DEU,Germany,2005,OWID.CO2,867.8804931640625
DEU,Germany,2006,OWID.CO2,886.434326171875
DEU,Germany,2007,OWID.CO2,846.1529541015625
DEU,Germany,2008,OWID.CO2,856.6425170898438
DEU,Germany,2009,OWID.CO2,789.9839477539062
DEU,Germany,2010,OWID.CO2,826.7047119140625
DEU,Germany,2011,OWID.CO2,804.5415649414062
DEU,Germany,2012,OWID.CO2,814.093017578125
DEU,Germany,2013,OWID.CO2,831.7455444335938
DEU,Germany,2014,OWID.CO2,792.5836181640625
DEU,Germany,2015,OWID.CO2,800.822509765625
DEU,Germany,2016,OWID.CO2,797.98828125
DEU,Germany,2017,OWID.CO2,784.5951538085938
DEU,Germany,2018,OWID.CO2,758.7713623046875
DEU,Germany,2019,OWID.CO2,708.6489868164062
DEU,Germany,2020,OWID.CO2,647.1768188476562
DEU,Germany,2021,OWID.CO2,677.9976806640625
DEU,Germany,2022,OWID.CO2,667.843017578125
DEU,Germany,2023,OWID.CO2,593.7659912109375
DEU,Germany,2000,OWID.COAL_CO2,373.4605407714844
DEU,Germany,2001,OWID.COAL_CO2,376.52032470703125
DEU,Germany,2002,OWID.COAL_CO2,375.7861022949219
DEU,Germany,2003,OWID.COAL_CO2,378.3052673339844
DEU,Germany,2004,OWID.COAL_CO2,374.9078369140625
DEU,Germany,2005,OWID.COAL_CO2,361.974609375
DEU,Germany,2006,OWID.COAL_CO2,367.6529541015625
DEU,Germany,2007,OWID.COAL_CO2,376.71514892578125
DEU,Germany,2008,OWID.COAL_CO2,353.5813293457031
DEU,Germany,2009,OWID.COAL_CO2,316.2799072265625
DEU,Germany,2010,OWID.COAL_CO2,341.31121826171875
DEU,Germany,2011,OWID.COAL_CO2,339.6244812011719
DEU,Germany,2012,OWID.COAL_CO2,350.039306640625
DEU,Germany,2013,OWID.COAL_CO2,357.25384521484375
DEU,Germany,2014,OWID.COAL_CO2,344.72247314453125
DEU,Germany,2015,OWID.COAL_CO2,341.1174621582031
DEU,Germany,2016,OWID.COAL_CO2,329.4356384277344
DEU,Germany,2017,OWID.COAL_CO2,312.69232177734375
DEU,Germany,2018,OWID.COAL_CO2,296.8706359863281
DEU,Germany,2019,OWID.COAL_CO2,240.1139678955078
DEU,Germany,2020,OWID.COAL_CO2,198.5301971435547
DEU,Germany,2021,OWID.COAL_CO2,232.1385955810547
DEU,Germany,2022,OWID.COAL_CO2,239.42755126953125
DEU,Germany,2023,OWID.COAL_CO2,186.15667724609375
FRA,France,2000,OWID.CO2,407.44464111328125
FRA,France,2001,OWID.CO2,411.5916442871094
FRA,France,2002,OWID.CO2,407.0265808105469
FRA,France,2003,OWID.CO2,412.98907470703125
FRA,France,2004,OWID.CO2,414.072998046875
FRA,France,2005,OWID.CO2,416.3429260253906
FRA,France,2006,OWID.CO2,406.6690368652344
FRA,France,2007,OWID.CO2,396.461181640625
FRA,France,2008,OWID.CO2,389.7943115234375
FRA,France,2009,OWID.CO2,371.4042053222656
FRA,France,2010,OWID.CO2,377.0793762207031
FRA,France,2011,OWID.CO2,355.1268005371094
FRA,France,2012,OWID.CO2,358.1002502441406
FRA,France,2013,OWID.CO2,360.0133361816406
FRA,France,2014,OWID.CO2,327.80877685546875
FRA,France,2015,OWID.CO2,332.1310119628906
FRA,France,2016,OWID.CO2,335.4963684082031
FRA,France,2017,OWID.CO2,338.3680419921875
FRA,France,2018,OWID.CO2,323.1017150878906
FRA,France,2019,OWID.CO2,316.32080078125
FRA,France,2020,OWID.CO2,281.5154724121094
FRA,France,2021,OWID.CO2,307.2718505859375
FRA,France,2022,OWID.CO2,295.3038024902344
FRA,France,2023,OWID.CO2,270.2626647949219
